Id,Original Principal Amount,Cancelled Amount,Due to the banque,Credit Status
405,8000000.0,0.0,2280000.0,Disbursed
406,5500000.0,8692.61,0.0,Repaid
407,2000000.0,98896.59,0.0,Repaid
408,23506826.12,0.0,6699445.49,Disbursed
409,18500000.0,0.0,0.0,Repaid
410,9500000.0,0.0,0.0,Repaid
411,8300000.0,0.0,0.0,Repaid
412,6700000.0,0.0,0.0,Repaid
413,8700000.0,0.0,2610000.0,Disbursed
414,10200000.0,88.58,3060000.0,Disbursed
415,13500000.0,0.0,4050000.0,Disbursed
416,14000000.0,0.0,4200000.0,Disbursed
417,20000000.0,0.0,0.0,Repaid
418,55000000.0,0.0,15675000.0,Disbursed
419,33000000.0,0.0,9405000.0,Disbursed
420,38000000.0,0.0,10830000.0,Disbursed
421,36000000.0,1094460.54,9947939.46,Disbursed
422,20000000.0,0.0,0.0,Repaid
423,2600000.0,0.0,0.0,Repaid
424,45000000.0,0.0,12825000.0,Disbursed
425,5500000.0,0.0,1567500.0,Disbursed
426,8500000.0,0.0,0.0,Repaid
427,46000000.0,0.0,13110000.0,Disbursed
428,7800000.0,97302.12,2310697.88,Disbursed
429,15000000.0,115317.82,5358462.18,Disbursed
430,100000000.0,0.0,30000000.0,Disbursed
431,80000000.0,0.0,24000000.0,Disbursed
432,8200000.0,42451.28,0.0,Repaid
433,50000000.0,0.0,15000000.0,Disbursed
434,7500000.0,0.0,0.0,Repaid
435,22584928.03,1392633.51,6039803.78,Disbursed
436,25748406.85,914600.13,7450141.75,Disbursed
437,7500000.0,99117.61,2220182.39,Disbursed
438,4000000.0,0.0,1140000.0,Disbursed
439,15000000.0,301995.37,4409401.43,Disbursed
440,16300000.0,16116.23,4640906.71,Disbursed
441,16700000.0,665646.93,4569790.37,Disbursed
442,11800000.0,0.0,0.0,Repaid
443,9000000.0,2626929.77,0.0,Repaid
444,21000000.0,0.0,0.0,Repaid
445,10000000.0,0.0,0.0,Repaid
446,17000000.0,17000000.0,0.0,Cancelled
447,4000000.0,0.0,1140000.0,Disbursed
448,5000000.0,0.0,0.0,Repaid
449,11000000.0,0.0,3300000.0,Disbursed
450,18055121.33,4708.69,3618106.09,Disbursed
451,18500000.0,44023.99,5536776.01,Disbursed
452,4100000.0,0.0,1230000.0,Disbursed
453,4600000.0,0.0,1380000.0,Disbursed
454,5500000.0,1120547.99,1313835.61,Disbursed
455,7500000.0,0.0,0.0,Repaid
456,35000000.0,0.0,10500000.0,Disbursed
457,16500000.0,1603973.93,4466026.07,Disbursed
458,24000000.0,0.0,0.0,Repaid
459,15000000.0,0.0,0.0,Repaid
460,2850000.0,0.0,0.0,Repaid
461,4500000.0,0.0,0.0,Repaid
462,7000000.0,0.0,2100000.0,Disbursed
463,6000000.0,0.0,0.0,Repaid
464,6600000.0,0.0,0.0,Repaid
465,5600000.0,0.0,0.0,Repaid
466,10000000.0,7961.6,2997611.4,Disbursed
467,5000000.0,0.0,1500000.0,Disbursed
468,13000000.0,0.0,0.0,Repaid
469,3800000.0,0.0,0.0,Repaid
470,32000000.0,0.0,10080000.0,Disbursed
471,2000000.0,208484.08,0.0,Repaid
472,2000000.0,0.0,0.0,Repaid
473,2500000.0,0.0,0.0,Repaid
474,2500000.0,109627.53,0.0,Repaid
475,2000000.0,0.0,600.0,Disbursed
476,3000000.0,0.0,0.0,Repaid
477,4000000.0,205788.69,3300963.77,Disbursed
478,80000000.0,0.0,24000000.0,Disbursed
479,11500000.0,873745.79,0.0,Repaid
480,8700000.0,0.0,0.0,Repaid
481,5000000.0,0.0,1575000.0,Disbursed
482,3000000.0,0.0,0.0,Repaid
483,21400000.0,4026000.0,0.0,Repaid
484,17500000.0,309647.98,0.0,Repaid
485,6200000.0,933.27,0.0,Repaid
486,13000000.0,0.0,4095000.0,Disbursed
487,24000000.0,754288.37,20572454.76,Disbursed
